Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2019,1,13,0,0,0,0,0,0,0,0,0,0,14.19473124,14.19473124,316.9365087,316.9365087,539.0886545,539.0886545,700.3300982,700.3300982,739.1915305,739.1915305,760.3655486,760.3655486,725.4631658,725.4631658,707.4457933,707.4457933,687.6447186,687.6447186,642.634569,642.634569,584.8669581,584.8669581,526.2685714,526.2685714,343.3347055,343.3347055,151.03929,151.03929,0,0,0,0,0,0,0,0,0,0
2019,1,14,0,0,0,0,0,0,0,0,0,0,8.684375798,8.684375798,254.3715831,254.3715831,486.163533,486.163533,646.9132882,646.9132882,761.3090088,761.3090088,773.5054298,773.5054298,750.2642975,750.2642975,733.289635,733.289635,706.9792393,706.9792393,640.0865593,640.0865593,632.072638,632.072638,494.1507381,494.1507381,384.3578258,384.3578258,166.761144,166.761144,0,0,0,0,0,0,0,0,0,0
2019,1,15,0,0,0,0,0,0,0,0,0,0,6.606743961,6.606743961,230.1164681,230.1164681,452.8340728,452.8340728,618.3138593,618.3138593,682.209823,682.209823,740.9717983,740.9717983,714.2883878,714.2883878,675.5653362,675.5653362,574.5669078,574.5669078,589.6170779,589.6170779,532.8527694,532.8527694,358.3709475,358.3709475,236.2946962,236.2946962,107.5464006,107.5464006,0,0,0,0,0,0,0,0,0,0
2019,1,16,0,0,0,0,0,0,0,0,0,0,5.782356054,5.782356054,276.9911336,276.9911336,534.9296147,534.9296147,610.5579638,610.5579638,600.6321138,600.6321138,597.9906538,597.9906538,601.1874784,601.1874784,520.4470499,520.4470499,497.1286859,497.1286859,508.1371699,508.1371699,422.2863705,422.2863705,319.9317314,319.9317314,281.7059424,281.7059424,86.49717679,86.49717679,0,0,0,0,0,0,0,0,0,0
2019,1,17,0,0,0,0,0,0,0,0,0,0,5.324051742,5.324051742,254.8584218,254.8584218,484.7375047,484.7375047,642.1383524,642.1383524,691.9865684,691.9865684,700.8729148,700.8729148,656.3377311,656.3377311,651.7532215,651.7532215,659.5251601,659.5251601,622.108143,622.108143,567.4133017,567.4133017,461.6534951,461.6534951,290.3570133,290.3570133,140.4049285,140.4049285,0,0,0,0,0,0,0,0,0,0
2019,1,18,0,0,0,0,0,0,0,0,0,0,4.032256734,4.032256734,225.3224501,225.3224501,381.8979944,381.8979944,536.8415261,536.8415261,618.313389,618.313389,689.9620339,689.9620339,582.1126903,582.1126903,521.6050863,521.6050863,553.368687,553.368687,548.9063113,548.9063113,499.759388,499.759388,388.4196639,388.4196639,253.7549589,253.7549589,93.8267134,93.8267134,0,0,0,0,0,0,0,0,0,0
2019,1,19,0,0,0,0,0,0,0,0,0,0,0.623370777,0.623370777,146.3671524,146.3671524,380.015332,380.015332,481.8416808,481.8416808,670.5829185,670.5829185,698.6572057,698.6572057,700.9025853,700.9025853,625.5398436,625.5398436,613.830704,613.830704,540.6407704,540.6407704,493.683955,493.683955,407.4027382,407.4027382,316.2324427,316.2324427,131.187089,131.187089,0,0,0,0,0,0,0,0,0,0
2019,1,20,0,0,0,0,0,0,0,0,0,0,0.278851066,0.278851066,139.7126523,139.7126523,370.1669237,370.1669237,539.6620067,539.6620067,625.0131981,625.0131981,690.8085551,690.8085551,698.9787733,698.9787733,637.2303929,637.2303929,575.8403837,575.8403837,509.842213,509.842213,488.5775975,488.5775975,449.8943666,449.8943666,294.7529552,294.7529552,134.9278326,134.9278326,0,0,0,0,0,0,0,0,0,0
2019,1,21,0,0,0,0,0,0,0,0,0,0,0.13012246,0.13012246,181.7499605,181.7499605,428.3526523,428.3526523,621.5818834,621.5818834,704.6825969,704.6825969,687.2355135,687.2355135,647.6363551,647.6363551,630.0196936,630.0196936,606.8802241,606.8802241,609.8456465,609.8456465,554.7596342,554.7596342,423.0435868,423.0435868,306.2181027,306.2181027,92.97608186,92.97608186,0,0,0,0,0,0,0,0,0,0
2019,1,22,0,0,0,0,0,0,0,0,0,0,0.239408616,0.239408616,273.06684,273.06684,545.6056284,545.6056284,676.2594259,676.2594259,729.356771,729.356771,752.1458263,752.1458263,733.9227961,733.9227961,700.9196245,700.9196245,644.6283123,644.6283123,619.5209746,619.5209746,532.7477812,532.7477812,484.6395933,484.6395933,346.0246319,346.0246319,153.3960833,153.3960833,0,0,0,0,0,0,0,0,0,0
2019,1,23,0,0,0,0,0,0,0,0,0,0,0.069409353,0.069409353,165.5269757,165.5269757,435.9243826,435.9243826,573.1049929,573.1049929,665.273317,665.273317,652.4610333,652.4610333,688.5771027,688.5771027,683.0938515,683.0938515,667.4925148,667.4925148,634.3140942,634.3140942,606.1412344,606.1412344,482.528387,482.528387,309.0723784,309.0723784,118.2328688,118.2328688,0,0,0,0,0,0,0,0,0,0
2019,1,24,0,0,0,0,0,0,0,0,0,0,0.154893188,0.154893188,253.7475699,253.7475699,523.3216884,523.3216884,707.2237487,707.2237487,741.879651,741.879651,767.478498,767.478498,696.262957,696.262957,652.5852552,652.5852552,666.5612706,666.5612706,607.8704055,607.8704055,557.0793038,557.0793038,518.8982943,518.8982943,383.7971942,383.7971942,151.2081588,151.2081588,0,0,0,0,0,0,0,0,0,0
2019,1,25,0,0,0,0,0,0,0,0,0,0,0.106730996,0.106730996,220.6165047,220.6165047,539.069279,539.069279,685.4601573,685.4601573,774.1048459,774.1048459,768.4399899,768.4399899,752.1457036,752.1457036,723.8530708,723.8530708,671.0528215,671.0528215,631.6646855,631.6646855,562.8715701,562.8715701,425.5675979,425.5675979,277.4767655,277.4767655,103.045362,103.045362,0,0,0,0,0,0,0,0,0,0
2019,1,26,0,0,0,0,0,0,0,0,0,0,0.013505516,0.013505516,185.2565107,185.2565107,423.2775641,423.2775641,602.5631892,602.5631892,646.0215254,646.0215254,653.2832712,653.2832712,706.3463369,706.3463369,670.3553948,670.3553948,572.9367781,572.9367781,464.1462836,464.1462836,450.6331059,450.6331059,410.1740916,410.1740916,276.367782,276.367782,95.15018581,95.15018581,0,0,0,0,0,0,0,0,0,0
2019,1,27,0,0,0,0,0,0,0,0,0,0,0,0,154.7273513,154.7273513,299.9199908,299.9199908,380.7390064,380.7390064,552.2300138,552.2300138,471.7375502,471.7375502,524.0346347,524.0346347,494.2696032,494.2696032,497.0076555,497.0076555,486.699613,486.699613,412.1172782,412.1172782,301.1129378,301.1129378,125.3095477,125.3095477,29.82866792,29.82866792,0,0,0,0,0,0,0,0,0,0
2019,1,28,0,0,0,0,0,0,0,0,0,0,0,0,111.3604743,111.3604743,325.306274,325.306274,449.9587634,449.9587634,528.4446075,528.4446075,548.3458521,548.3458521,578.0261649,578.0261649,557.0236717,557.0236717,564.6813452,564.6813452,497.7011704,497.7011704,355.8654416,355.8654416,306.4104692,306.4104692,213.6405272,213.6405272,47.22017737,47.22017737,0,0,0,0,0,0,0,0,0,0
2019,1,29,0,0,0,0,0,0,0,0,0,0,0,0,177.9662677,177.9662677,425.5423158,425.5423158,555.4607195,555.4607195,675.3534471,675.3534471,608.4073453,608.4073453,614.1658068,614.1658068,623.410161,623.410161,632.8141761,632.8141761,636.2992948,636.2992948,609.4625561,609.4625561,532.3621895,532.3621895,311.6887439,311.6887439,75.63330895,75.63330895,0,0,0,0,0,0,0,0,0,0
2019,1,30,0,0,0,0,0,0,0,0,0,0,0,0,99.26305479,99.26305479,214.2993485,214.2993485,224.5057291,224.5057291,457.9221983,457.9221983,375.1819286,375.1819286,460.307196,460.307196,487.9468328,487.9468328,415.4523521,415.4523521,283.3204476,283.3204476,221.5666667,221.5666667,146.2338422,146.2338422,97.48154483,97.48154483,21.53668295,21.53668295,0,0,0,0,0,0,0,0,0,0
2019,1,31,0,0,0,0,0,0,0,0,0,0,0,0,159.8028065,159.8028065,356.9277351,356.9277351,514.072574,514.072574,701.8907753,701.8907753,744.5270441,744.5270441,742.7014879,742.7014879,706.4599551,706.4599551,716.4947398,716.4947398,680.6291395,680.6291395,603.9068246,603.9068246,489.02347,489.02347,320.8442954,320.8442954,121.4460855,121.4460855,0,0,0,0,0,0,0,0,0,0
2019,2,1,0,0,0,0,0,0,0,0,0,0,0,0,201.0957276,201.0957276,457.7045622,457.7045622,703.8101727,703.8101727,793.6874647,793.6874647,783.1153155,783.1153155,772.8496994,772.8496994,737.5479321,737.5479321,725.931917,725.931917,628.1779809,628.1779809,624.1451774,624.1451774,527.8360652,527.8360652,398.3271735,398.3271735,148.9246567,148.9246567,0,0,0,0,0,0,0,0,0,0
2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,274.6924522,274.6924522,500.8977293,500.8977293,669.2210664,669.2210664,775.6199935,775.6199935,776.4835189,776.4835189,766.2516342,766.2516342,720.4482064,720.4482064,722.9827095,722.9827095,655.7935845,655.7935845,611.799969,611.799969,589.3171041,589.3171041,218.9909221,218.9909221,85.15631866,85.15631866,0,0,0,0,0,0,0,0,0,0
2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,210.7871126,210.7871126,440.7340987,440.7340987,613.0094749,613.0094749,663.637112,663.637112,589.6387059,589.6387059,648.8218715,648.8218715,704.4100311,704.4100311,579.2906275,579.2906275,583.5931731,583.5931731,461.6000504,461.6000504,441.1274117,441.1274117,251.5925021,251.5925021,74.36953275,74.36953275,0,0,0,0,0,0,0,0,0,0
2019,2,4,0,0,0,0,0,0,0,0,0,0,0,0,182.1759202,182.1759202,428.8073039,428.8073039,633.4475797,633.4475797,675.1084179,675.1084179,663.1073482,663.1073482,660.192754,660.192754,685.2248421,685.2248421,690.0201133,690.0201133,509.1968103,509.1968103,465.8013958,465.8013958,435.7309791,435.7309791,316.4788268,316.4788268,52.46862853,52.46862853,0,0,0,0,0,0,0,0,0,0
2019,2,5,0,0,0,0,0,0,0,0,0,0,0,0,170.649621,170.649621,452.9236224,452.9236224,645.747074,645.747074,587.2646449,587.2646449,636.1651931,636.1651931,665.670166,665.670166,713.6161915,713.6161915,672.8513614,672.8513614,535.3159946,535.3159946,501.3313366,501.3313366,512.6044906,512.6044906,301.7222627,301.7222627,105.3050149,105.3050149,0,0,0,0,0,0,0,0,0,0
2019,2,6,0,0,0,0,0,0,0,0,0,0,0,0,199.4334326,199.4334326,530.7589688,530.7589688,695.0951688,695.0951688,773.9646545,773.9646545,762.5491178,762.5491178,752.4413761,752.4413761,660.3888482,660.3888482,680.9825007,680.9825007,649.0406596,649.0406596,611.7970071,611.7970071,410.9116476,410.9116476,286.0398852,286.0398852,43.15136343,43.15136343,0,0,0,0,0,0,0,0,0,0
2019,2,7,0,0,0,0,0,0,0,0,0,0,0,0,216.2302781,216.2302781,444.275546,444.275546,605.0658971,605.0658971,729.1341947,729.1341947,721.0707564,721.0707564,764.5400022,764.5400022,679.9545762,679.9545762,642.8971015,642.8971015,529.427194,529.427194,446.3769986,446.3769986,462.9911727,462.9911727,310.9246888,310.9246888,56.73490693,56.73490693,0,0,0,0,0,0,0,0,0,0
2019,2,8,0,0,0,0,0,0,0,0,0,0,0,0,158.3592711,158.3592711,309.6785683,309.6785683,485.3836742,485.3836742,454.025912,454.025912,548.6963527,548.6963527,554.9288552,554.9288552,551.7423306,551.7423306,510.177867,510.177867,455.0060789,455.0060789,372.4244627,372.4244627,364.6790914,364.6790914,162.1887208,162.1887208,40.05972123,40.05972123,0,0,0,0,0,0,0,0,0,0
