Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2018,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160633783,0.0160633783,0.1434684886,0.1434684886,0.2347182259,0.2347182259,0.2316574418,0.2316574418,0.5724235901,0.5724235901,0.9034090406,0.9034090406,0.8734550117,0.8734550117,0.8090755679,0.8090755679,0.5714124221,0.5714124221,0.1951795923,0.1951795923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1179543381,0.1179543381,0.6033942229,0.6033942229,0.8707284316,0.8707284316,0.9524872821,0.9524872821,0.9502473109,0.9502473109,0.9357536338,0.9357536338,0.9153557218,0.9153557218,0.8414487496,0.8414487496,0.6395508542,0.6395508542,0.261940138,0.261940138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1247434079,0.1247434079,0.5814843403,0.5814843403,0.8518824537,0.8518824537,0.9492225532,0.9492225532,0.9540070038,0.9540070038,0.9333917586,0.9333917586,0.9078167065,0.9078167065,0.832415078,0.832415078,0.6433342031,0.6433342031,0.268878291,0.268878291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282583871,0.1282583871,0.6035158248,0.6035158248,0.8666647339,0.8666647339,0.954601323,0.954601323,0.9603158066,0.9603158066,0.9531087805,0.9531087805,0.9225585199,0.9225585199,0.8361896692,0.8361896692,0.6397299351,0.6397299351,0.2729818515,0.2729818515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1321677671,0.1321677671,0.5961256913,0.5961256913,0.8734338723,0.8734338723,0.9425895123,0.9425895123,0.9412702123,0.9412702123,0.9290556647,0.9290556647,0.9067037673,0.9067037673,0.830331639,0.830331639,0.6395996761,0.6395996761,0.2826662141,0.2826662141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1080264698,0.1080264698,0.4751236554,0.4751236554,0.5515857772,0.5515857772,0.8620732559,0.8620732559,0.5924063645,0.5924063645,0.9338921584,0.9338921584,0.9075532693,0.9075532693,0.8356760824,0.8356760824,0.5113204516,0.5113204516,0.2294501863,0.2294501863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1101921511,0.1101921511,0.4370972944,0.4370972944,0.1020450257,0.1020450257,0.2195761731,0.2195761731,0.2320389577,0.2320389577,0.5081500447,0.5081500447,0.132868488,0.132868488,0.7599801129,0.7599801129,0.5294968138,0.5294968138,0.2122589202,0.2122589202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1694579737,0.1694579737,0.6193836636,0.6193836636,0.8933270559,0.8933270559,0.968778211,0.968778211,0.953562875,0.953562875,0.8167565192,0.8167565192,0.9434848163,0.9434848163,0.6903076649,0.6903076649,0.6649637369,0.6649637369,0.3101289141,0.3101289141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1915512657,0.1915512657,0.6322390371,0.6322390371,0.8752474317,0.8752474317,0.9049585587,0.9049585587,0.960334832,0.960334832,0.9505492017,0.9505492017,0.9151180545,0.9151180545,0.8422307062,0.8422307062,0.6581671172,0.6581671172,0.3372157354,0.3372157354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193884653,0.193884653,0.6186613001,0.6186613001,0.8702290384,0.8702290384,0.9475405615,0.9475405615,0.9742432497,0.9742432497,0.9484561996,0.9484561996,0.8526925961,0.8526925961,0.5473977598,0.5473977598,0.2870364331,0.2870364331,0.1386377327,0.1386377327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
