GenName,bus_id,FuelType,FuelPrice $/MMBTU,ActivePowerInj MW,Pmax MW,Pmin MW,MinDownTime Hr,MinUpTime Hr,RampUpRate MW/Min,RampDownRate MW/Min,BaseMVA,GenType,ColdStartTimeHr,WarmStartTimeHr,HotStartTimeHr
Bayswater,1,Coal,2.868,2640,2545,1000,999,999,20.67,15.33,2665,Subcritical,24,4,2
Tallawarra,1,Gas,9.338,440,395,199,4,4,6,6,440,CCGT,15,3,1
